BANK_EN,SAVINGSPLAN_EN,SAVINGSPROGRAMBYAGE_EN,SAVINGSPERIOD,INTERESTSDATE,YEAR,MONTH,YEAR_MONTH,RateType,RateValue,IsNegative,AvgRate_ByGroup,Delta_ByGroup
Discount,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2200,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.8700,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.0000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.4000,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.3000,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5000,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8200,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.0000,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.9000,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,16 Y -17 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.2000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2400,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.2000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.8300,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.9500,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.4000,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.2000,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.2000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.4700,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8300,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.0000,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.9000,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,15 Y -16 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6500,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.2000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2600,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.2000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.8000,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.9000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.4000,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.0500,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.2000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.4400,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8500,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.0000,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8500,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,14 Y -15 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6500,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.0000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2600,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.0000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.7400,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.4000,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.9500,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.0000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.4000,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8700,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.0000,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,13 Y -14 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6500,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.0000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2700,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.0000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.6900,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2500,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8500,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.0000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.3300,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8900,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.9500,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8000,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,12 Y -13 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6500,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.5000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2800,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.5000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.6400,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.7000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2500,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.7000,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.5000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.2200,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8900,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.9500,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.7000,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,11 Y -12 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6500,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.5000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.1800,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.5000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5300,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2500,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.5000,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.5000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.1200,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8900,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.9500,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.5000,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.0500,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,10 Y -11 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6500,0,2.6615,0.2000
Otsar Ha-Hayal,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.4000,0,1.5083,3.3000
Discount,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.0700,0,3.8803,1.5500
International Bank,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.4000,0,1.5083,3.3000
Hapoalim,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.4500,0,3.1891,1.9000
Yahav,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.5000,0,2.2583,2.1000
Leumi,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),4.2500,0,4.1250,0.7000
Mizrahi-Tefahot,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.4500,0,2.7320,3.4500
Massad,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.4000,0,1.5083,3.3000
Mercantile Discount,Fixed Deposit (No Early Withdrawal),Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.0000,0,3.0850,0.9000
Otsar Ha-Hayal,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),0.9000,0,1.2615,1.9000
Discount,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.5800,0,3.5377,0.8500
International Bank,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),0.9000,0,1.2615,1.9000
Hapoalim,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.8700,0,2.8508,0.1000
Yahav,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),1.9000,0,1.9000,0.0000
Leumi,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),3.9500,0,3.9462,0.1500
Mizrahi-Tefahot,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.4500,0,2.7420,0.9000
Massad,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),0.9000,0,1.2615,1.9000
Mercantile Discount,Deposit with 5-Year Exit Option,Under 18,9 Y -10 Y,2026-08-06,2026,8,2026-08,Fixed (No Linkage),2.6500,0,2.6615,0.2000
